File	Line	Description
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciList.cs	1043	'ISciListInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListLong.cs	998	'ISciListLongInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListLong.cs	1051	'ISciListLongInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListShort.cs	998	'ISciListShortInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListShort.cs	1051	'ISciListShortInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.RenderableSeries.Data.ISeriesRenderPassData.cs	408	'ISeriesRenderPassDataInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISmartList.cs	998	'ISmartListInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISmartList.cs	1051	'ISmartListInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.ISprite2D.cs	133	'ISprite2DInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.ITexture2D.cs	133	'ITexture2DInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Framework.IUpdateSuspender.cs	159	'IUpdateSuspenderInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.ClipMode>' is referenced as base type of 'com.scichart.charting.ClipMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.Direction2D>' is referenced as base type of 'com.scichart.charting.Direction2D' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.model.dataSeries.DataSeriesType>' is referenced as base type of 'com.scichart.charting.model.dataSeries.DataSeriesType' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.modifiers.AxisDragModifierBase.AxisDragMode>' is referenced as base type of 'com.scichart.charting.modifiers.AxisDragModifierBase.AxisDragMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.modifiers.ExecuteOn>' is referenced as base type of 'com.scichart.charting.modifiers.ExecuteOn' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.modifiers.Placement>' is referenced as base type of 'com.scichart.charting.modifiers.Placement' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.modifiers.SourceMode>' is referenced as base type of 'com.scichart.charting.modifiers.SourceMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.modifiers.TooltipPosition>' is referenced as base type of 'com.scichart.charting.modifiers.TooltipPosition' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.strategyManager.CoordinateSystem>' is referenced as base type of 'com.scichart.charting.strategyManager.CoordinateSystem' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.annotations.AnnotationCoordinateMode>' is referenced as base type of 'com.scichart.charting.visuals.annotations.AnnotationCoordinateMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.annotations.AnnotationSurfaceEnum>' is referenced as base type of 'com.scichart.charting.visuals.annotations.AnnotationSurfaceEnum' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.annotations.HorizontalAnchorPoint>' is referenced as base type of 'com.scichart.charting.visuals.annotations.HorizontalAnchorPoint' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.annotations.VerticalAnchorPoint>' is referenced as base type of 'com.scichart.charting.visuals.annotations.VerticalAnchorPoint' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.axes.AutoRange>' is referenced as base type of 'com.scichart.charting.visuals.axes.AutoRange' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.axes.AxisAlignment>' is referenced as base type of 'com.scichart.charting.visuals.axes.AxisAlignment' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.axes.AxisTitleOrientation>' is referenced as base type of 'com.scichart.charting.visuals.axes.AxisTitleOrientation' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.axes.AxisTitlePlacement>' is referenced as base type of 'com.scichart.charting.visuals.axes.AxisTitlePlacement' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.renderableSeries.ErrorDirection>' is referenced as base type of 'com.scichart.charting.visuals.renderableSeries.ErrorDirection' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.renderableSeries.ErrorMode>' is referenced as base type of 'com.scichart.charting.visuals.renderableSeries.ErrorMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.renderableSeries.ErrorType>' is referenced as base type of 'com.scichart.charting.visuals.renderableSeries.ErrorType' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.renderableSeries.LineDrawMode>' is referenced as base type of 'com.scichart.charting.visuals.renderableSeries.LineDrawMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.charting.visuals.renderableSeries.SpacingMode>' is referenced as base type of 'com.scichart.charting.visuals.renderableSeries.SpacingMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.core.licensing.Decoder.LicenseType>' is referenced as base type of 'com.scichart.core.licensing.Decoder.LicenseType' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.core.observable.CollectionChangedEventArgs.Action>' is referenced as base type of 'com.scichart.core.observable.CollectionChangedEventArgs.Action' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.data.model.RangeClipMode>' is referenced as base type of 'com.scichart.data.model.RangeClipMode' and expected to have generic type parameters, but it does not.
